시도,합계,월,시군구
전라남도,761460,201804,여수
전라남도,11045,201804,영광
전라남도,37103,201804,영암
전라남도,6752,201804,완도
전라남도,50814,201804,장성
전라남도,63,201804,장흥
전라남도,49865,201804,함평
전라남도,11347,201804,해남
전라남도,247041,201804,화순
경상북도,1287940,201804,경산
경상북도,513428,201804,경주
경상북도,37647,201804,고령
경상북도,707879,201804,구미
경상북도,13,201804,군위
경상북도,214237,201804,김천
경상북도,42542,201804,문경
경상북도,4922,201804,봉화
경상북도,33573,201804,상주
경상북도,21895,201804,성주
경상북도,341116,201804,안동
경상북도,91666,201804,영주
경상북도,156460,201804,영천
경상북도,31549,201804,예천
경상북도,9796,201804,울릉
경상북도,19680,201804,울진
경상북도,14159,201804,의성
경상북도,15206,201804,청도
경상북도,140,201804,청송
경상북도,73921,201804,칠곡
경상북도,925311,201804,포항
경상남도,411473,201804,거제
경상남도,1647,201804,고성
경상남도,1829830,201804,김해
경상남도,1615,201804,남해
경상남도,78007,201804,밀양
경상남도,53498,201804,사천
경상남도,155,201804,산청
경상남도,1691434,201804,양산
경상남도,2186,201804,의령
경상남도,1144851,201804,진주
경상남도,364,201804,창녕
경상남도,3697725,201804,창원
경상남도,409041,201804,통영
경상남도,839,201804,하동
경상남도,50385,201804,함안
경상남도,363,201804,합천
제주특별자치도,485138,201804,서귀포
제주특별자치도,1643452,201804,제주
광주광역시,6173563,201805,광주광역시
대구광역시,14182338,201805,대구광역시
대전광역시,7312163,201805,대전광역시
부산광역시,30310757,201805,부산광역시
서울특별시,124395562,201805,서울특별시
세종특별자치시,666437,201805,세종특별자치시
울산광역시,3996529,201805,울산광역시
인천광역시,21827599,201805,인천광역시
경기도,190314,201805,가평
경기도,7607637,201805,고양
경기도,613442,201805,과천
경기도,2982743,201805,광명
경기도,1803511,201805,광주
경기도,1481421,201805,구리
경기도,2514228,201805,군포
경기도,1858184,201805,김포
경기도,3899063,201805,남양주
경기도,550109,201805,동두천
경기도,7345938,201805,부천
경기도,9229700,201805,성남
경기도,8412519,201805,수원
경기도,2062233,201805,시흥
경기도,4041209,201805,안산
경기도,484996,201805,안성
경기도,5530425,201805,안양
경기도,1220028,201805,양주
경기도,299322,201805,양평
경기도,221759,201805,여주
경기도,90905,201805,연천
경기도,1055052,201805,오산
경기도,5775580,201805,용인
경기도,1012825,201805,의왕
경기도,3463593,201805,의정부
경기도,478002,201805,이천
경기도,2068241,201805,파주
경기도,1808101,201805,평택
경기도,480295,201805,포천
경기도,1311373,201805,하남
경기도,2681729,201805,화성
